ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82685433;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 274,76;Emitida -;;;;;;
82687139;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.271,38;Emitida -;;;;;;
82691781;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 213,38;Emitida -;;;;;;
82692047;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 127,57;Emitida -;;;;;;
82693672;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 424,13;Emitida -;;;;;;
82694753;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 340,30;Emitida -;;;;;;
82694777;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 460,13;Emitida -;;;;;;
82695462;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 769,57;Emitida -;;;;;;
82695535;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 520,44;Emitida -;;;;;;
82695721;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 166,30;Emitida -;;;;;;
82696238;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 343,22;Emitida -;;;;;;
82697888;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 102,57;Emitida -;;;;;;
82698012;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 595,59;Emitida -;;;;;;
82699723;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.756,60;Emitida -;;;;;;
82699931;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 640,08;Emitida -;;;;;;
82700579;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 382,84;Emitida -;;;;;;
82702581;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.092,32;Emitida -;;;;;;
82702628;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 679,35;Emitida -;;;;;;
82711692;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 226,35;Emitida -;;;;;;
